报告期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,
营业收入(万元),4245047,2419003,1330864,3886219,2663188,1817323,998875,3265958,2314869,1577865,854427,3157393,2171819,1432163,744983,3092180,2193571,1412787,716579,2645534,1993144,1326444,601597,1840236,1364208,982582,422059,1163328,932758,658727,303991,967000,780720,554601,251254,824169,648652,461972,199350,723743,445838,262909,158754,490338,325238,201349,135301,
营业成本(万元),427344,251123,117700,341010,222540,147541,76500,253834,174705,116588,57980,233855,159331,98754,50694,219392,144086,93257,48112,204431,162888,105965,48206,155123,115585,84507,39206,105293,82130,56919,29539,95067,74321,53162,25145,79971,61494,44205,20081,87164,66264,38922,23770,78654,53503,33485,22494,
营业利润(万元),2863694,1612377,879015,2426563,1814958,1276012,720256,2215899,1629498,1115161,620433,2210297,1531644,1025098,531992,2179154,1601321,1039775,537018,1883074,1468729,979969,417301,1233616,928239,688959,265228,716091,589751,438076,179557,607552,530596,390495,170481,539038,441135,314412,122199,452534,250572,135889,87306,248712,168825,95818,67035,
利润总额(万元),2849284,1608353,875504,2395788,1803798,1276529,720674,2200171,1616223,1114943,620202,2188234,1517920,1022318,531235,2143236,1566739,1012541,511789,1870049,1458526,980018,417493,1233466,927955,688735,265411,716242,589578,437752,179278,608054,530537,390580,170504,538530,440389,313552,122256,452203,250805,136106,87417,248807,168926,95909,67068,
所得税费用(万元),713137,403909,221021,602724,470779,338808,199466,554672,403544,278491,157370,561297,380351,255864,135942,546746,400521,250449,134452,469204,364728,245124,104544,308434,234884,172104,66281,182266,148468,110295,44840,152765,132557,97696,42620,138454,109969,78359,30551,155597,83882,46711,31273,87169,63266,35597,21926,
净利润(万元),2136147,1204444,654483,1793064,1333019,937720,521208,1645500,1212679,836452,462832,1626937,1137569,766454,395293,1596490,1166218,762091,377336,1400845,1093798,734894,312949,925032,693071,516631,199129,533976,441110,327456,134438,455289,397980,292884,127884,400076,330420,235194,91705,296605,166922,89395,56144,161638,105660,60312,45142,
基本每股收益,15.91,8.96,4.87,13.31,9.92,7.01,3.89,12.34,9.09,6.91,3.82,13.44,9.36,6.33,3.56,14.58,10.66,6.98,3.46,12.82,10.04,6.74,2.86,8.44,6.33,5.2,2,5.35,4.42,3.28,1.34,4.57,4.01,2.96,1.29,4.03,3.33,2.37,0.93,3,1.69,0.9,0.57,1.64,1.07,0.61,0.92,
货币资金(万元),8096468,7363535,7270833,6685496,6199974,4752806,4377574,3680075,3053612,3023650,2842068,2771072,2279591,2109508,2336407,2518501,2201137,1827496,2173523,2206200,1869003,2098186,1885143,1825469,1828833,1729169,1599849,1288839,1102667,1026886,998044,974315,789528,779581,766232,809372,640202,506587,556444,472271,475339,480987,465549,447422,
应收账款(万元),--,--,--,--,850,104,23,23,382,37,49,431,222,222,268,93,93,93,134,1782,185,199,206,223,212,230,100,125,2800,2876,3107,2139,4157,3988,5612,3483,4734,4782,7779,4641,6879,6519,10383,6835,
存货(万元),2087100,2085031,2076047,2062225,1878252,1844493,1853782,1801330,1638117,1628407,1561921,1498236,1345496,1324065,1269766,1183681,1068619,1033902,1008527,966573,788735,777383,757802,718712,623219,591561,583173,557413,479143,449533,435096,419225,340533,325622,322297,311457,258811,244347,238825,230482,210078,212002,200833,198090,
流动资产合计(万元),10480329,9739779,9588942,9018055,8350289,7395347,6911380,6500451,5729744,5323997,5045337,4757093,4199076,3863836,4044602,4193158,3984085,3468298,3685610,3622508,3148589,3242428,2923263,2782963,2698667,2546948,2375679,2030028,1795571,1658331,1620660,1565559,1284486,1221681,1189683,1224075,925044,775002,821854,727150,710806,727393,703802,676895,
固定资产净额(万元),1485118,1503562,1519760,1445318,1124902,1135778,1148588,1141595,1089121,1037647,1043879,1037576,900341,891785,876840,852326,716577,704700,698411,680733,583843,569870,548982,542601,470388,426859,421876,419185,375465,373122,322395,316873,242084,228529,224727,219017,196251,194651,186975,182698,143508,143162,131773,122290,
资产总计(万元),12778004,12038274,11897872,11293454,10514603,9554650,9069045,8630146,7755903,7233774,6876902,6587317,5865156,5521813,5602963,5545415,4927444,4362071,4590222,4499821,3883488,3971145,3640758,3490087,3289426,3092015,2916170,2558758,2281003,2133383,2043010,1976962,1673794,1597375,1562550,1575419,1298945,1127610,1155688,1048147,1019420,1022693,988330,957079,
流动负债合计(万元),3938362,4130392,3650926,3702043,3384696,2817777,1973362,2005172,1562242,865819,882110,1054384,829246,857618,855828,1130729,943630,782383,728882,952640,682554,1128891,785919,948072,979096,935566,861102,702819,507826,458662,442415,510806,251226,279677,300750,425077,218245,142146,227094,211262,324130,400752,399493,340294,
非流动负债合计(万元),1557,1557,1557,1557,1557,1557,1557,1557,1777,1777,1777,1777,1777,1777,1777,1777,1777,1777,1777,1777,1777,1777,1777,1677,1953,1953,1000,1000,1000,1000,1000,1000,1000,1000,1000,--,--,--,--,--,--,--,--,0,
负债合计(万元),3939919,4131949,3652483,3703600,3386253,2819334,1974919,2006729,1564019,867596,883887,1056161,831023,859395,857605,1132506,945407,784160,730659,954417,684331,1130668,787696,949749,981049,937519,862102,703819,508826,459662,443415,511806,252226,280677,301750,425077,218245,142146,227094,211262,324130,400752,399493,340294,
所有者权益(或股东权益)合计(万元),8838085,7906325,8245389,7589854,7128350,6735316,7094126,6623417,6191884,6366178,5993015,5531155,5034133,4662418,4745357,4412909,3982037,3577911,3859563,3545404,3199157,2840478,2853062,2540338,2308377,2154496,2054068,1854939,1772177,1673721,1599595,1465157,1421568,1316698,1260801,1150342,1080700,985463,928594,836886,695290,621941,588838,616785,
期初现金及现金等价物余额(万元),6279479,6279479,6279479,3478049,3478049,3478049,3478049,2499723,2499723,2499723,2499723,2199174,2199174,2199174,2199174,2206200,2206200,2206200,2206200,1825469,1825469,1825469,1825469,1288839,1288839,1288839,1288839,974315,974315,974315,974315,809372,809372,809372,809372,472271,472271,472271,472271,447422,447422,447422,169700,389574,389969,389794,99741,
经营活动产生的现金流量净额(万元),2278677,693536,610898,3745125,3253533,1360396,743604,1743634,1142339,490169,211163,1263252,767940,428874,17392,1265502,924512,521502,79023,1192131,756157,445971,133950,1014856,902694,532790,341113,620148,396441,176638,82477,422394,207754,54819,-13076,524749,306861,149568,99269,174330,154826,68581,38054,211294,149133,59536,22492,
投资活动产生的现金流量净额(万元),-74778,-47069,-30034,-110250,-77349,-55551,-42135,-204879,-178299,-129072,-85405,-458016,-387492,-299876,-208482,-533931,-383752,-238158,-101861,-419948,-301536,-167737,-68982,-212042,-119757,-70441,-30106,-176339,-142645,-110127,-45031,-133952,-104142,-67194,-29888,-99256,-62070,-38666,-15154,-78946,-56258,-34950,-19966,-77846,-54432,-31195,-10482,
筹资活动产生的现金流量净额(万元),-889318,-36400,0,-833451,-828406,-328307,-50851,-558802,-558756,-3494,-3464,-504143,-509939,-510539,0,-738597,-734430,-679039,-9838,-391452,-411086,-5517,-5294,-266185,-242943,-22020,3,-129285,-125444,-13940,-13718,-123499,-123456,-17416,-176,-88391,-76860,-76585,59,-70536,-70651,-67,38,-75599,-75389,-75581,-3366,
现金及现金等价物净增加额(万元),1314589,610074,580865,2801431,2347791,976547,650628,978326,403662,355967,120645,300549,-129491,-381540,-191090,-7026,-193671,-395695,-32677,380731,43534,272717,59674,536630,539993,440329,311010,314524,128352,52571,23728,164943,-19844,-29791,-43140,337102,167931,34317,84174,24849,27916,33564,18126,57849,19312,-47239,8644,
期末现金及现金等价物余额(万元),7594069,6889553,6860344,6279479,5825840,4454596,4128677,3478049,2903384,2855690,2620368,2499723,2069683,1817634,2008084,2199174,2012529,1810505,2173523,2206200,1869003,2098186,1885143,1825469,1828833,1729169,1599849,1288839,1102667,1026886,998044,974315,789528,779581,766232,809372,640202,506587,556444,472271,475339,480987,187827,447422,409281,342554,108385,		
		
  
